rowid,region,customer,xb_01,xb_02,xb_03,xn_01,xn_02,xn_03,xa_01,xa_02,xa_03,xb_04,xb_05,xb_06,xb_07,xb_08,xn_04,xn_05,xn_06,xn_07,xn_08,xa_04,xa_05,xa_06,xa_07,xa_08,xw_01,xw_02,xw_03,xs_01,xs_02,xs_03,xs_04,xs_05,xs_06
632,YY,Other,4,7,1,1.5,3,0,9.5,11,8,0.8,0.2,1.4,2.5,-1,0.14880952,0,0.75,2,-1.5,2.708333333,2.666666667,2.75,4,0.5,99.5,95,104,0.040448156,-0.103801334,0.184697645,0.458616993,0.310852077,0.606381908
638,YY,Other,2.555555556,9,-2,0.555555556,8,-5,7.222222222,19,0,0.842592593,-0.333333333,2.25,1.666666667,0,-0.3333333,-2.5,1.6,0.888888889,-0.777777778,2.527777778,0,6,4.777777778,0.444444444,68.55555556,24,97,0.07898442,-0.217560561,0.351856557,0.211414459,0.017048926,0.375860898
684,YY,Other,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0.75,-1,-1,-1,-1,-0.5,-0.5,-0.5,1,-2,32,32,32,-0.07577193,-0.07577193,-0.07577193,0.180763896,0.180763896,0.180763896
717,YY,Other,1.4,2,0,0,2,-1,4.8,9,1,0.8,0,2,1.2,0.2,0.54583333,-1,1,0.6,-0.4,2.126666667,0.333333333,3,3,1,52.4,36,69,0.219255577,-0.002590555,0.312906834,0.227974533,0.172763723,0.352323466
725,YY,Other,0,0,0,3,3,3,5,5,5,0,0,0,1,-1,1,1.5,1.5,2,1,2.5,2.5,2.5,3,2,63,63,63,0.152503812,0.152503812,0.152503812,0.14536019,0.14536019,0.14536019
755,ZZ,Other,3.333333333,9,0,2.333333333,6,0,8.333333333,18,1,0.683333333,0,1.8,1.666666667,-0.666666667,0.57142857,0,1.2,1,-0.333333333,2.033333333,0.5,3.6,3.666666667,0.333333333,48.33333333,29,64,0.274294211,0.060361725,0.563020707,0.213600397,0.058529093,0.366455079
768,ZZ,Other,9,9,9,4,4,4,22,22,22,1.8,1.8,1.8,3,1,0.55555556,1,1,2,0,4.4,4.4,4.4,6,2,90,90,90,0.421586946,0.421586946,0.421586946,0.457081171,0.457081171,0.457081171
770,ZZ,Other,3,3,3,2,2,2,2,2,2,1.5,1.5,1.5,2,1,0.6,0.5,0.5,2,-1,0.666666667,0.666666667,0.666666667,2,-1,53,53,53,-0.118819545,-0.118819545,-0.118819545,0.223674706,0.223674706,0.223674706
796,ZZ,Other,7,7,7,2,2,2,15,15,15,1.166666667,1.166666667,1.166666667,2,1,0.56666667,0.5,0.5,1,0,3,3,3,6,2,25,0,50,0.18006893,0,0.360137861,0.293405651,0.293405651,0.293405651
797,ZZ,Other,8,10,6,3,4,2,18.5,24,13,2.333333333,1.666666667,3,4,1,0.60597484,0.4,1.333333333,2,0,3.7,2.6,4.8,8.5,0.5,71.5,56,87,0.283959263,0.143807436,0.42411109,0.311547916,0.300186283,0.322909548
807,ZZ,Other,1.6,5,-2,1.8,3,-1,7.6,22,-1,0.233333333,-2,1.666666667,1.2,-1.2,0.61190476,-1,1.5,1.4,-0.4,2.033333333,-1,5.5,4.4,0,57.16666667,0,103,0.025502203,-0.32715179,0.378183626,0.368519508,0.063239246,0.59143742
811,ZZ,Other,5,5,5,-1,-1,-1,8,8,8,1.666666667,1.666666667,1.666666667,2,1,-0.5,-0.5,-0.5,1,-2,2,2,2,6,0,68,68,68,0.24065025,0.24065025,0.24065025,0.218410597,0.218410597,0.218410597
836,ZZ,Other,6,6,6,2,2,2,3,3,3,0.857142857,0.857142857,0.857142857,3,-1,-1,0.333333333,0.333333333,1,-1,0.5,0.5,0.5,4,-3,90,90,90,0.295929357,0.295929357,0.295929357,0.420818686,0.420818686,0.420818686
839,ZZ,Other,2,2,2,0,1,-1,4.5,6,3,1.5,1,2,1.5,1.5,0.28703704,-1,0.5,0,-0.5,3,3,3,4,2,23,9,37,0.440223926,0.213781185,0.666666667,0.135665585,0.135665585,0.135665585
842,ZZ,Other,1.5,3,0,0,2,-2,4,4,4,0.75,0,1.5,2.5,-1,0.57777778,-1,1,1,-1,1.666666667,1.333333333,2,4,-0.5,73,45,101,-0.019569975,-0.125596306,0.086456356,0.153105125,0.147476069,0.158734181
850,ZZ,Other,8,8,8,6,6,6,9,9,9,1.6,1.6,1.6,4,0,0.61666667,1.2,1.2,3,-1,1.8,1.8,1.8,5,-2,89,89,89,0.282815096,0.282815096,0.282815096,0.291123739,0.291123739,0.291123739
867,ZZ,Other,-1,-1,-1,-2,-2,-2,5,5,5,-0.25,-0.25,-0.25,1,-1,0.04803922,-0.666666667,-0.666666667,1,-2,1,1,1,2,-2,63,63,63,-0.187489142,-0.187489142,-0.187489142,0.460452041,0.460452041,0.460452041
889,ZZ,Other,4,5,3,4,5,3,11.5,12,11,1.208333333,0.75,1.666666667,2,0.5,-1,0.6,1.666666667,1.5,0,4.1,2.2,6,7,1,95,94,96,0.243634837,0.216470573,0.270799102,0.23393133,0.173712162,0.294150498
898,ZZ,Other,2,3,1,-0.5,0,-1,5.5,12,-1,1,1,1,1,1,0.11282051,-1,0,0,-1,1.75,-0.5,4,3,0.5,44,43,45,-0.039158294,-0.2679115,0.189594912,0.337627591,0.248548454,0.426706728
910,ZZ,Other,4,4,4,0,0,0,7,7,7,1,1,1,1,1,2,0,0,1,-2,1.75,1.75,1.75,3,-1,67,67,67,0.205525732,0.205525732,0.205525732,0.180639049,0.180639049,0.180639049
926,ZZ,Other,3,3,3,0.666666667,1,0,5.666666667,7,4,1.166666667,1,1.5,2.666666667,-0.333333333,1.5,0,1,1.333333333,-0.666666667,2.111111111,2,2.333333333,4,0,26.2,0,65,0.355594651,0,0.74313525,0.534053988,0.393729068,0.606758035
